row_id,date,state,store,product,num_sold
40,03-01-2015,Kerala,MecStore,Mec Hat,843
41,03-01-2015,Kerala,MecStore,Mec Sticker,265
42,03-01-2015,Mumbai,ExcelMart,Mec Mug,614
43,03-01-2015,Mumbai,ExcelMart,Mec Hat,930
44,03-01-2015,Mumbai,ExcelMart,Mec Sticker,254
45,03-01-2015,Mumbai,MecStore,Mec Mug,1029
46,03-01-2015,Mumbai,MecStore,Mec Hat,1631
47,03-01-2015,Mumbai,MecStore,Mec Sticker,451
48,03-01-2015,Delhi,ExcelMart,Mec Mug,420
49,03-01-2015,Delhi,ExcelMart,Mec Hat,630
50,03-01-2015,Delhi,ExcelMart,Mec Sticker,173
51,03-01-2015,Delhi,MecStore,Mec Mug,734
52,03-01-2015,Delhi,MecStore,Mec Hat,1167
53,03-01-2015,Delhi,MecStore,Mec Sticker,319
54,04-01-2015,Kerala,ExcelMart,Mec Mug,332
55,04-01-2015,Kerala,ExcelMart,Mec Hat,544
56,04-01-2015,Kerala,ExcelMart,Mec Sticker,125
57,04-01-2015,Kerala,MecStore,Mec Mug,582
58,04-01-2015,Kerala,MecStore,Mec Hat,873
59,04-01-2015,Kerala,MecStore,Mec Sticker,245
60,04-01-2015,Mumbai,ExcelMart,Mec Mug,589
61,04-01-2015,Mumbai,ExcelMart,Mec Hat,889
62,04-01-2015,Mumbai,ExcelMart,Mec Sticker,255
63,04-01-2015,Mumbai,MecStore,Mec Mug,957
64,04-01-2015,Mumbai,MecStore,Mec Hat,1540
65,04-01-2015,Mumbai,MecStore,Mec Sticker,455
66,04-01-2015,Delhi,ExcelMart,Mec Mug,406
67,04-01-2015,Delhi,ExcelMart,Mec Hat,697
68,04-01-2015,Delhi,ExcelMart,Mec Sticker,169
69,04-01-2015,Delhi,MecStore,Mec Mug,657
70,04-01-2015,Delhi,MecStore,Mec Hat,1112
71,04-01-2015,Delhi,MecStore,Mec Sticker,300
72,05-01-2015,Kerala,ExcelMart,Mec Mug,243
73,05-01-2015,Kerala,ExcelMart,Mec Hat,378
74,05-01-2015,Kerala,ExcelMart,Mec Sticker,102
75,05-01-2015,Kerala,MecStore,Mec Mug,423
76,05-01-2015,Kerala,MecStore,Mec Hat,668
77,05-01-2015,Kerala,MecStore,Mec Sticker,187
78,05-01-2015,Mumbai,ExcelMart,Mec Mug,435
79,05-01-2015,Mumbai,ExcelMart,Mec Hat,671
80,05-01-2015,Mumbai,ExcelMart,Mec Sticker,184
81,05-01-2015,Mumbai,MecStore,Mec Mug,739
82,05-01-2015,Mumbai,MecStore,Mec Hat,1126
83,05-01-2015,Mumbai,MecStore,Mec Sticker,310
84,05-01-2015,Delhi,ExcelMart,Mec Mug,298
85,05-01-2015,Delhi,ExcelMart,Mec Hat,442
86,05-01-2015,Delhi,ExcelMart,Mec Sticker,127
87,05-01-2015,Delhi,MecStore,Mec Mug,512
88,05-01-2015,Delhi,MecStore,Mec Hat,796
89,05-01-2015,Delhi,MecStore,Mec Sticker,227
90,06-01-2015,Kerala,ExcelMart,Mec Mug,223
91,06-01-2015,Kerala,ExcelMart,Mec Hat,389
92,06-01-2015,Kerala,ExcelMart,Mec Sticker,99
93,06-01-2015,Kerala,MecStore,Mec Mug,407
94,06-01-2015,Kerala,MecStore,Mec Hat,636
95,06-01-2015,Kerala,MecStore,Mec Sticker,168
96,06-01-2015,Mumbai,ExcelMart,Mec Mug,402
97,06-01-2015,Mumbai,ExcelMart,Mec Hat,683
98,06-01-2015,Mumbai,ExcelMart,Mec Sticker,181
99,06-01-2015,Mumbai,MecStore,Mec Mug,681
100,06-01-2015,Mumbai,MecStore,Mec Hat,1131
101,06-01-2015,Mumbai,MecStore,Mec Sticker,306
102,06-01-2015,Delhi,ExcelMart,Mec Mug,256
103,06-01-2015,Delhi,ExcelMart,Mec Hat,411
104,06-01-2015,Delhi,ExcelMart,Mec Sticker,111
105,06-01-2015,Delhi,MecStore,Mec Mug,471
106,06-01-2015,Delhi,MecStore,Mec Hat,853
107,06-01-2015,Delhi,MecStore,Mec Sticker,206
108,07-01-2015,Kerala,ExcelMart,Mec Mug,229
109,07-01-2015,Kerala,ExcelMart,Mec Hat,342
110,07-01-2015,Kerala,ExcelMart,Mec Sticker,91
111,07-01-2015,Kerala,MecStore,Mec Mug,356
112,07-01-2015,Kerala,MecStore,Mec Hat,576
113,07-01-2015,Kerala,MecStore,Mec Sticker,173
114,07-01-2015,Mumbai,ExcelMart,Mec Mug,371
115,07-01-2015,Mumbai,ExcelMart,Mec Hat,504
116,07-01-2015,Mumbai,ExcelMart,Mec Sticker,149
117,07-01-2015,Mumbai,MecStore,Mec Mug,653
118,07-01-2015,Mumbai,MecStore,Mec Hat,958
119,07-01-2015,Mumbai,MecStore,Mec Sticker,262
120,07-01-2015,Delhi,ExcelMart,Mec Mug,256
121,07-01-2015,Delhi,ExcelMart,Mec Hat,415
122,07-01-2015,Delhi,ExcelMart,Mec Sticker,119
123,07-01-2015,Delhi,MecStore,Mec Mug,442
124,07-01-2015,Delhi,MecStore,Mec Hat,689
125,07-01-2015,Delhi,MecStore,Mec Sticker,208
126,08-01-2015,Kerala,ExcelMart,Mec Mug,205
127,08-01-2015,Kerala,ExcelMart,Mec Hat,355
128,08-01-2015,Kerala,ExcelMart,Mec Sticker,93
129,08-01-2015,Kerala,MecStore,Mec Mug,353
130,08-01-2015,Kerala,MecStore,Mec Hat,581
131,08-01-2015,Kerala,MecStore,Mec Sticker,163
132,08-01-2015,Mumbai,ExcelMart,Mec Mug,361
133,08-01-2015,Mumbai,ExcelMart,Mec Hat,574
134,08-01-2015,Mumbai,ExcelMart,Mec Sticker,163
135,08-01-2015,Mumbai,MecStore,Mec Mug,538
136,08-01-2015,Mumbai,MecStore,Mec Hat,1004
137,08-01-2015,Mumbai,MecStore,Mec Sticker,263
138,08-01-2015,Delhi,ExcelMart,Mec Mug,259
139,08-01-2015,Delhi,ExcelMart,Mec Hat,402
140,08-01-2015,Delhi,ExcelMart,Mec Sticker,121
141,08-01-2015,Delhi,MecStore,Mec Mug,493
142,08-01-2015,Delhi,MecStore,Mec Hat,723
143,08-01-2015,Delhi,MecStore,Mec Sticker,202
144,09-01-2015,Kerala,ExcelMart,Mec Mug,223
145,09-01-2015,Kerala,ExcelMart,Mec Hat,344
146,09-01-2015,Kerala,ExcelMart,Mec Sticker,101
147,09-01-2015,Kerala,MecStore,Mec Mug,386
148,09-01-2015,Kerala,MecStore,Mec Hat,634
149,09-01-2015,Kerala,MecStore,Mec Sticker,165
150,09-01-2015,Mumbai,ExcelMart,Mec Mug,338
151,09-01-2015,Mumbai,ExcelMart,Mec Hat,566
152,09-01-2015,Mumbai,ExcelMart,Mec Sticker,153
153,09-01-2015,Mumbai,MecStore,Mec Mug,605
154,09-01-2015,Mumbai,MecStore,Mec Hat,1053
155,09-01-2015,Mumbai,MecStore,Mec Sticker,258
156,09-01-2015,Delhi,ExcelMart,Mec Mug,268
157,09-01-2015,Delhi,ExcelMart,Mec Hat,422
158,09-01-2015,Delhi,ExcelMart,Mec Sticker,121
159,09-01-2015,Delhi,MecStore,Mec Mug,479
160,09-01-2015,Delhi,MecStore,Mec Hat,731
161,09-01-2015,Delhi,MecStore,Mec Sticker,194
162,10-01-2015,Kerala,ExcelMart,Mec Mug,280
163,10-01-2015,Kerala,ExcelMart,Mec Hat,456
164,10-01-2015,Kerala,ExcelMart,Mec Sticker,126
165,10-01-2015,Kerala,MecStore,Mec Mug,469
166,10-01-2015,Kerala,MecStore,Mec Hat,703
167,10-01-2015,Kerala,MecStore,Mec Sticker,198
168,10-01-2015,Mumbai,ExcelMart,Mec Mug,433
169,10-01-2015,Mumbai,ExcelMart,Mec Hat,512
170,10-01-2015,Mumbai,ExcelMart,Mec Sticker,172
171,10-01-2015,Mumbai,MecStore,Mec Mug,602
172,10-01-2015,Mumbai,MecStore,Mec Hat,1122
173,10-01-2015,Mumbai,MecStore,Mec Sticker,326
174,10-01-2015,Delhi,ExcelMart,Mec Mug,332
175,10-01-2015,Delhi,ExcelMart,Mec Hat,547
176,10-01-2015,Delhi,ExcelMart,Mec Sticker,137
177,10-01-2015,Delhi,MecStore,Mec Mug,536
178,10-01-2015,Delhi,MecStore,Mec Hat,955
179,10-01-2015,Delhi,MecStore,Mec Sticker,254
180,11-01-2015,Kerala,ExcelMart,Mec Mug,231
181,11-01-2015,Kerala,ExcelMart,Mec Hat,447
182,11-01-2015,Kerala,ExcelMart,Mec Sticker,114
183,11-01-2015,Kerala,MecStore,Mec Mug,454
184,11-01-2015,Kerala,MecStore,Mec Hat,676
185,11-01-2015,Kerala,MecStore,Mec Sticker,205
186,11-01-2015,Mumbai,ExcelMart,Mec Mug,387
187,11-01-2015,Mumbai,ExcelMart,Mec Hat,679
188,11-01-2015,Mumbai,ExcelMart,Mec Sticker,170
189,11-01-2015,Mumbai,MecStore,Mec Mug,717
190,11-01-2015,Mumbai,MecStore,Mec Hat,1109
191,11-01-2015,Mumbai,MecStore,Mec Sticker,301
192,11-01-2015,Delhi,ExcelMart,Mec Mug,354
193,11-01-2015,Delhi,ExcelMart,Mec Hat,531
194,11-01-2015,Delhi,ExcelMart,Mec Sticker,142
195,11-01-2015,Delhi,MecStore,Mec Mug,538
196,11-01-2015,Delhi,MecStore,Mec Hat,882
197,11-01-2015,Delhi,MecStore,Mec Sticker,243
198,12-01-2015,Kerala,ExcelMart,Mec Mug,197
199,12-01-2015,Kerala,ExcelMart,Mec Hat,324
200,12-01-2015,Kerala,ExcelMart,Mec Sticker,84
201,12-01-2015,Kerala,MecStore,Mec Mug,354
202,12-01-2015,Kerala,MecStore,Mec Hat,560
203,12-01-2015,Kerala,MecStore,Mec Sticker,151
204,12-01-2015,Mumbai,ExcelMart,Mec Mug,323
205,12-01-2015,Mumbai,ExcelMart,Mec Hat,510
206,12-01-2015,Mumbai,ExcelMart,Mec Sticker,147
207,12-01-2015,Mumbai,MecStore,Mec Mug,534
208,12-01-2015,Mumbai,MecStore,Mec Hat,885
209,12-01-2015,Mumbai,MecStore,Mec Sticker,265
210,12-01-2015,Delhi,ExcelMart,Mec Mug,245
211,12-01-2015,Delhi,ExcelMart,Mec Hat,360
212,12-01-2015,Delhi,ExcelMart,Mec Sticker,118
213,12-01-2015,Delhi,MecStore,Mec Mug,456
214,12-01-2015,Delhi,MecStore,Mec Hat,642
215,12-01-2015,Delhi,MecStore,Mec Sticker,168
216,13-01-2015,Kerala,ExcelMart,Mec Mug,186
217,13-01-2015,Kerala,ExcelMart,Mec Hat,318
218,13-01-2015,Kerala,ExcelMart,Mec Sticker,84
219,13-01-2015,Kerala,MecStore,Mec Mug,354
220,13-01-2015,Kerala,MecStore,Mec Hat,580
221,13-01-2015,Kerala,MecStore,Mec Sticker,149
222,13-01-2015,Mumbai,ExcelMart,Mec Mug,311
223,13-01-2015,Mumbai,ExcelMart,Mec Hat,522
224,13-01-2015,Mumbai,ExcelMart,Mec Sticker,140
225,13-01-2015,Mumbai,MecStore,Mec Mug,534
226,13-01-2015,Mumbai,MecStore,Mec Hat,939
227,13-01-2015,Mumbai,MecStore,Mec Sticker,231
228,13-01-2015,Delhi,ExcelMart,Mec Mug,221
229,13-01-2015,Delhi,ExcelMart,Mec Hat,355
230,13-01-2015,Delhi,ExcelMart,Mec Sticker,101
231,13-01-2015,Delhi,MecStore,Mec Mug,409
232,13-01-2015,Delhi,MecStore,Mec Hat,653
233,13-01-2015,Delhi,MecStore,Mec Sticker,173
234,14-01-2015,Kerala,ExcelMart,Mec Mug,187
235,14-01-2015,Kerala,ExcelMart,Mec Hat,324
236,14-01-2015,Kerala,ExcelMart,Mec Sticker,86
237,14-01-2015,Kerala,MecStore,Mec Mug,337
238,14-01-2015,Kerala,MecStore,Mec Hat,547
239,14-01-2015,Kerala,MecStore,Mec Sticker,142
240,14-01-2015,Mumbai,ExcelMart,Mec Mug,325
241,14-01-2015,Mumbai,ExcelMart,Mec Hat,495
242,14-01-2015,Mumbai,ExcelMart,Mec Sticker,144
243,14-01-2015,Mumbai,MecStore,Mec Mug,545
244,14-01-2015,Mumbai,MecStore,Mec Hat,946
245,14-01-2015,Mumbai,MecStore,Mec Sticker,247
246,14-01-2015,Delhi,ExcelMart,Mec Mug,235
247,14-01-2015,Delhi,ExcelMart,Mec Hat,339
248,14-01-2015,Delhi,ExcelMart,Mec Sticker,102
249,14-01-2015,Delhi,MecStore,Mec Mug,402
250,14-01-2015,Delhi,MecStore,Mec Hat,649
251,14-01-2015,Delhi,MecStore,Mec Sticker,177
252,15-01-2015,Kerala,ExcelMart,Mec Mug,184
253,15-01-2015,Kerala,ExcelMart,Mec Hat,295
254,15-01-2015,Kerala,ExcelMart,Mec Sticker,77
255,15-01-2015,Kerala,MecStore,Mec Mug,306
256,15-01-2015,Kerala,MecStore,Mec Hat,569
257,15-01-2015,Kerala,MecStore,Mec Sticker,149
258,15-01-2015,Mumbai,ExcelMart,Mec Mug,316
259,15-01-2015,Mumbai,ExcelMart,Mec Hat,505
260,15-01-2015,Mumbai,ExcelMart,Mec Sticker,135
261,15-01-2015,Mumbai,MecStore,Mec Mug,564
262,15-01-2015,Mumbai,MecStore,Mec Hat,972
263,15-01-2015,Mumbai,MecStore,Mec Sticker,252
264,15-01-2015,Delhi,ExcelMart,Mec Mug,220
265,15-01-2015,Delhi,ExcelMart,Mec Hat,362
266,15-01-2015,Delhi,ExcelMart,Mec Sticker,94
267,15-01-2015,Delhi,MecStore,Mec Mug,363
268,15-01-2015,Delhi,MecStore,Mec Hat,593
269,15-01-2015,Delhi,MecStore,Mec Sticker,157
270,16-01-2015,Kerala,ExcelMart,Mec Mug,196
271,16-01-2015,Kerala,ExcelMart,Mec Hat,292
272,16-01-2015,Kerala,ExcelMart,Mec Sticker,89
273,16-01-2015,Kerala,MecStore,Mec Mug,332
274,16-01-2015,Kerala,MecStore,Mec Hat,474
275,16-01-2015,Kerala,MecStore,Mec Sticker,151
276,16-01-2015,Mumbai,ExcelMart,Mec Mug,347
277,16-01-2015,Mumbai,ExcelMart,Mec Hat,514
278,16-01-2015,Mumbai,ExcelMart,Mec Sticker,171
279,16-01-2015,Mumbai,MecStore,Mec Mug,571
280,16-01-2015,Mumbai,MecStore,Mec Hat,1008
281,16-01-2015,Mumbai,MecStore,Mec Sticker,253
282,16-01-2015,Delhi,ExcelMart,Mec Mug,213
283,16-01-2015,Delhi,ExcelMart,Mec Hat,376
284,16-01-2015,Delhi,ExcelMart,Mec Sticker,98
285,16-01-2015,Delhi,MecStore,Mec Mug,396
286,16-01-2015,Delhi,MecStore,Mec Hat,635
287,16-01-2015,Delhi,MecStore,Mec Sticker,180
288,17-01-2015,Kerala,ExcelMart,Mec Mug,220
289,17-01-2015,Kerala,ExcelMart,Mec Hat,427
290,17-01-2015,Kerala,ExcelMart,Mec Sticker,111
291,17-01-2015,Kerala,MecStore,Mec Mug,406
292,17-01-2015,Kerala,MecStore,Mec Hat,701
293,17-01-2015,Kerala,MecStore,Mec Sticker,176
294,17-01-2015,Mumbai,ExcelMart,Mec Mug,399
295,17-01-2015,Mumbai,ExcelMart,Mec Hat,671
296,17-01-2015,Mumbai,ExcelMart,Mec Sticker,184
297,17-01-2015,Mumbai,MecStore,Mec Mug,712
298,17-01-2015,Mumbai,MecStore,Mec Hat,1109
299,17-01-2015,Mumbai,MecStore,Mec Sticker,316
300,17-01-2015,Delhi,ExcelMart,Mec Mug,254
301,17-01-2015,Delhi,ExcelMart,Mec Hat,487
302,17-01-2015,Delhi,ExcelMart,Mec Sticker,123
303,17-01-2015,Delhi,MecStore,Mec Mug,507
304,17-01-2015,Delhi,MecStore,Mec Hat,781
305,17-01-2015,Delhi,MecStore,Mec Sticker,196
306,18-01-2015,Kerala,ExcelMart,Mec Mug,233
307,18-01-2015,Kerala,ExcelMart,Mec Hat,371
308,18-01-2015,Kerala,ExcelMart,Mec Sticker,104
309,18-01-2015,Kerala,MecStore,Mec Mug,396
310,18-01-2015,Kerala,MecStore,Mec Hat,617
311,18-01-2015,Kerala,MecStore,Mec Sticker,163
312,18-01-2015,Mumbai,ExcelMart,Mec Mug,411
313,18-01-2015,Mumbai,ExcelMart,Mec Hat,626
314,18-01-2015,Mumbai,ExcelMart,Mec Sticker,161
315,18-01-2015,Mumbai,MecStore,Mec Mug,698
316,18-01-2015,Mumbai,MecStore,Mec Hat,1109
317,18-01-2015,Mumbai,MecStore,Mec Sticker,299
318,18-01-2015,Delhi,ExcelMart,Mec Mug,246
319,18-01-2015,Delhi,ExcelMart,Mec Hat,443
320,18-01-2015,Delhi,ExcelMart,Mec Sticker,127
321,18-01-2015,Delhi,MecStore,Mec Mug,485
322,18-01-2015,Delhi,MecStore,Mec Hat,851
323,18-01-2015,Delhi,MecStore,Mec Sticker,214
324,19-01-2015,Kerala,ExcelMart,Mec Mug,166
325,19-01-2015,Kerala,ExcelMart,Mec Hat,288
326,19-01-2015,Kerala,ExcelMart,Mec Sticker,73
327,19-01-2015,Kerala,MecStore,Mec Mug,343
328,19-01-2015,Kerala,MecStore,Mec Hat,560
329,19-01-2015,Kerala,MecStore,Mec Sticker,158
330,19-01-2015,Mumbai,ExcelMart,Mec Mug,303
331,19-01-2015,Mumbai,ExcelMart,Mec Hat,545
332,19-01-2015,Mumbai,ExcelMart,Mec Sticker,137
333,19-01-2015,Mumbai,MecStore,Mec Mug,527
334,19-01-2015,Mumbai,MecStore,Mec Hat,913
335,19-01-2015,Mumbai,MecStore,Mec Sticker,244
336,19-01-2015,Delhi,ExcelMart,Mec Mug,223
337,19-01-2015,Delhi,ExcelMart,Mec Hat,375
338,19-01-2015,Delhi,ExcelMart,Mec Sticker,106
339,19-01-2015,Delhi,MecStore,Mec Mug,369
340,19-01-2015,Delhi,MecStore,Mec Hat,569
341,19-01-2015,Delhi,MecStore,Mec Sticker,148
342,20-01-2015,Kerala,ExcelMart,Mec Mug,188
343,20-01-2015,Kerala,ExcelMart,Mec Hat,309
344,20-01-2015,Kerala,ExcelMart,Mec Sticker,79
345,20-01-2015,Kerala,MecStore,Mec Mug,326
346,20-01-2015,Kerala,MecStore,Mec Hat,560
347,20-01-2015,Kerala,MecStore,Mec Sticker,140
348,20-01-2015,Mumbai,ExcelMart,Mec Mug,335
349,20-01-2015,Mumbai,ExcelMart,Mec Hat,538
350,20-01-2015,Mumbai,ExcelMart,Mec Sticker,129
351,20-01-2015,Mumbai,MecStore,Mec Mug,533
352,20-01-2015,Mumbai,MecStore,Mec Hat,955
353,20-01-2015,Mumbai,MecStore,Mec Sticker,249
354,20-01-2015,Delhi,ExcelMart,Mec Mug,224
355,20-01-2015,Delhi,ExcelMart,Mec Hat,350
356,20-01-2015,Delhi,ExcelMart,Mec Sticker,97
357,20-01-2015,Delhi,MecStore,Mec Mug,382
358,20-01-2015,Delhi,MecStore,Mec Hat,653
359,20-01-2015,Delhi,MecStore,Mec Sticker,167
360,21-01-2015,Kerala,ExcelMart,Mec Mug,172
361,21-01-2015,Kerala,ExcelMart,Mec Hat,320
362,21-01-2015,Kerala,ExcelMart,Mec Sticker,81
363,21-01-2015,Kerala,MecStore,Mec Mug,318
364,21-01-2015,Kerala,MecStore,Mec Hat,522
365,21-01-2015,Kerala,MecStore,Mec Sticker,138
366,21-01-2015,Mumbai,ExcelMart,Mec Mug,309
367,21-01-2015,Mumbai,ExcelMart,Mec Hat,555
368,21-01-2015,Mumbai,ExcelMart,Mec Sticker,152
369,21-01-2015,Mumbai,MecStore,Mec Mug,596
370,21-01-2015,Mumbai,MecStore,Mec Hat,902
371,21-01-2015,Mumbai,MecStore,Mec Sticker,256
372,21-01-2015,Delhi,ExcelMart,Mec Mug,227
373,21-01-2015,Delhi,ExcelMart,Mec Hat,343
374,21-01-2015,Delhi,ExcelMart,Mec Sticker,87
375,21-01-2015,Delhi,MecStore,Mec Mug,366
376,21-01-2015,Delhi,MecStore,Mec Hat,674
377,21-01-2015,Delhi,MecStore,Mec Sticker,157
378,22-01-2015,Kerala,ExcelMart,Mec Mug,174
379,22-01-2015,Kerala,ExcelMart,Mec Hat,301
380,22-01-2015,Kerala,ExcelMart,Mec Sticker,85
381,22-01-2015,Kerala,MecStore,Mec Mug,333
382,22-01-2015,Kerala,MecStore,Mec Hat,548
383,22-01-2015,Kerala,MecStore,Mec Sticker,147
384,22-01-2015,Mumbai,ExcelMart,Mec Mug,332
385,22-01-2015,Mumbai,ExcelMart,Mec Hat,494
386,22-01-2015,Mumbai,ExcelMart,Mec Sticker,145
387,22-01-2015,Mumbai,MecStore,Mec Mug,467
388,22-01-2015,Mumbai,MecStore,Mec Hat,922
389,22-01-2015,Mumbai,MecStore,Mec Sticker,249
390,22-01-2015,Delhi,ExcelMart,Mec Mug,220
391,22-01-2015,Delhi,ExcelMart,Mec Hat,353
392,22-01-2015,Delhi,ExcelMart,Mec Sticker,93
393,22-01-2015,Delhi,MecStore,Mec Mug,382
394,22-01-2015,Delhi,MecStore,Mec Hat,628
395,22-01-2015,Delhi,MecStore,Mec Sticker,177
396,23-01-2015,Kerala,ExcelMart,Mec Mug,188
397,23-01-2015,Kerala,ExcelMart,Mec Hat,343
398,23-01-2015,Kerala,ExcelMart,Mec Sticker,86
399,23-01-2015,Kerala,MecStore,Mec Mug,350
400,23-01-2015,Kerala,MecStore,Mec Hat,568
401,23-01-2015,Kerala,MecStore,Mec Sticker,157
402,23-01-2015,Mumbai,ExcelMart,Mec Mug,350
403,23-01-2015,Mumbai,ExcelMart,Mec Hat,564
404,23-01-2015,Mumbai,ExcelMart,Mec Sticker,144
405,23-01-2015,Mumbai,MecStore,Mec Mug,539
406,23-01-2015,Mumbai,MecStore,Mec Hat,926
407,23-01-2015,Mumbai,MecStore,Mec Sticker,244
408,23-01-2015,Delhi,ExcelMart,Mec Mug,228
409,23-01-2015,Delhi,ExcelMart,Mec Hat,412
410,23-01-2015,Delhi,ExcelMart,Mec Sticker,111
411,23-01-2015,Delhi,MecStore,Mec Mug,388
412,23-01-2015,Delhi,MecStore,Mec Hat,672
413,23-01-2015,Delhi,MecStore,Mec Sticker,183
414,24-01-2015,Kerala,ExcelMart,Mec Mug,227
415,24-01-2015,Kerala,ExcelMart,Mec Hat,369
416,24-01-2015,Kerala,ExcelMart,Mec Sticker,100
417,24-01-2015,Kerala,MecStore,Mec Mug,388
418,24-01-2015,Kerala,MecStore,Mec Hat,681
419,24-01-2015,Kerala,MecStore,Mec Sticker,175
420,24-01-2015,Mumbai,ExcelMart,Mec Mug,403
421,24-01-2015,Mumbai,ExcelMart,Mec Hat,677
422,24-01-2015,Mumbai,ExcelMart,Mec Sticker,173
423,24-01-2015,Mumbai,MecStore,Mec Mug,650
424,24-01-2015,Mumbai,MecStore,Mec Hat,1011
425,24-01-2015,Mumbai,MecStore,Mec Sticker,312
426,24-01-2015,Delhi,ExcelMart,Mec Mug,294
427,24-01-2015,Delhi,ExcelMart,Mec Hat,517
428,24-01-2015,Delhi,ExcelMart,Mec Sticker,126
429,24-01-2015,Delhi,MecStore,Mec Mug,492
430,24-01-2015,Delhi,MecStore,Mec Hat,808
431,24-01-2015,Delhi,MecStore,Mec Sticker,198
432,25-01-2015,Kerala,ExcelMart,Mec Mug,238
433,25-01-2015,Kerala,ExcelMart,Mec Hat,363
434,25-01-2015,Kerala,ExcelMart,Mec Sticker,105
435,25-01-2015,Kerala,MecStore,Mec Mug,381
436,25-01-2015,Kerala,MecStore,Mec Hat,627
437,25-01-2015,Kerala,MecStore,Mec Sticker,188
438,25-01-2015,Mumbai,ExcelMart,Mec Mug,391
439,25-01-2015,Mumbai,ExcelMart,Mec Hat,619
440,25-01-2015,Mumbai,ExcelMart,Mec Sticker,180
441,25-01-2015,Mumbai,MecStore,Mec Mug,758
442,25-01-2015,Mumbai,MecStore,Mec Hat,1204
443,25-01-2015,Mumbai,MecStore,Mec Sticker,279
444,25-01-2015,Delhi,ExcelMart,Mec Mug,251
445,25-01-2015,Delhi,ExcelMart,Mec Hat,502
446,25-01-2015,Delhi,ExcelMart,Mec Sticker,130
447,25-01-2015,Delhi,MecStore,Mec Mug,520
448,25-01-2015,Delhi,MecStore,Mec Hat,823
449,25-01-2015,Delhi,MecStore,Mec Sticker,215
450,26-01-2015,Kerala,ExcelMart,Mec Mug,177
451,26-01-2015,Kerala,ExcelMart,Mec Hat,302
452,26-01-2015,Kerala,ExcelMart,Mec Sticker,74
453,26-01-2015,Kerala,MecStore,Mec Mug,328
454,26-01-2015,Kerala,MecStore,Mec Hat,549
455,26-01-2015,Kerala,MecStore,Mec Sticker,133
456,26-01-2015,Mumbai,ExcelMart,Mec Mug,321
457,26-01-2015,Mumbai,ExcelMart,Mec Hat,531
458,26-01-2015,Mumbai,ExcelMart,Mec Sticker,140
459,26-01-2015,Mumbai,MecStore,Mec Mug,579
460,26-01-2015,Mumbai,MecStore,Mec Hat,897
461,26-01-2015,Mumbai,MecStore,Mec Sticker,233
462,26-01-2015,Delhi,ExcelMart,Mec Mug,223
463,26-01-2015,Delhi,ExcelMart,Mec Hat,345
464,26-01-2015,Delhi,ExcelMart,Mec Sticker,100
465,26-01-2015,Delhi,MecStore,Mec Mug,402
466,26-01-2015,Delhi,MecStore,Mec Hat,647
467,26-01-2015,Delhi,MecStore,Mec Sticker,153
468,27-01-2015,Kerala,ExcelMart,Mec Mug,179
469,27-01-2015,Kerala,ExcelMart,Mec Hat,296
